label,os,is_mobile,country,pageviews
0,Nintendo Wii,False,Japan,1
0,Windows Phone,True,Vietnam,1
0,(not set),True,Tunisia,1
0,(not set),False,Germany,2
0,(not set),True,Ukraine,2
0,(not set),False,Germany,2
0,(not set),True,Guinea,3
0,(not set),True,Côte d’Ivoire,3
0,(not set),True,Côte d’Ivoire,11
0,(not set),True,India,11
0,(not set),True,Côte d’Ivoire,6
0,SunOS,False,United States,7
0,Windows Phone,True,Morocco,5
0,Windows Phone,True,Philippines,2
0,Windows Phone,True,United Kingdom,2
0,(not set),True,Syria,1
0,(not set),True,Nigeria,1
0,(not set),True,Armenia,1
0,(not set),True,Cameroon,1
0,(not set),True,Cambodia,1
0,(not set),True,Mali,1
0,Windows Phone,True,Vietnam,1
0,(not set),True,India,1
0,(not set),False,(not set),1
0,(not set),False,United States,1
0,Windows Phone,True,United Kingdom,1
0,Windows Phone,True,United Kingdom,1
0,Firefox OS,True,Algeria,2
0,Windows Phone,True,United Kingdom,1
0,Windows Phone,True,United Kingdom,2
0,(not set),True,Morocco,4
0,(not set),True,Nigeria,1
0,(not set),True,Nigeria,1
0,(not set),True,Tanzania,1
0,Windows Phone,True,United Kingdom,2
0,(not set),True,Nigeria,2
0,(not set),True,Cameroon,1
0,Windows Phone,True,Brazil,1
0,(not set),True,India,1
0,(not set),True,Sudan,1
0,(not set),True,Kazakhstan,1
0,(not set),True,Côte d’Ivoire,4
0,(not set),True,Pakistan,18
0,Windows Phone,True,Canada,8
0,(not set),True,Indonesia,1
0,(not set),True,India,1
0,(not set),True,Indonesia,1
0,(not set),True,India,1
0,(not set),True,Netherlands,7
0,(not set),True,(not set),8
0,(not set),False,United States,1
0,Nintendo Wii,False,Japan,1
0,(not set),True,Netherlands,1
0,BlackBerry,True,South Africa,1
0,(not set),True,India,1
0,Windows Phone,True,Kosovo,1
0,Windows Phone,True,India,1
0,(not set),True,Kenya,1
0,(not set),True,Netherlands,2
0,(not set),True,Russia,4
0,(not set),True,Kenya,1
0,Windows Phone,True,Portugal,1
0,(not set),True,India,1
0,Samsung,True,India,2
0,Windows Phone,True,India,2
0,(not set),True,Nigeria,2
0,Windows Phone,True,Vietnam,1
0,(not set),True,Algeria,1
0,(not set),True,Pakistan,1
0,(not set),True,Côte d’Ivoire,1
0,(not set),True,Bangladesh,1
0,Windows Phone,True,Vietnam,1
0,(not set),True,Morocco,1
0,Windows Phone,True,Vietnam,1
0,Samsung,True,India,1
0,(not set),True,India,2
0,(not set),True,Sierra Leone,2
0,(not set),True,Pakistan,3
0,(not set),True,India,5
0,(not set),True,Pakistan,4
0,Windows Phone,True,India,5
0,Windows Phone,True,India,11
0,(not set),True,Cameroon,1
0,Windows Phone,True,Ecuador,1
0,(not set),True,Senegal,1
0,(not set),True,Côte d’Ivoire,1
0,Nintendo WiiU,True,Austria,1
0,(not set),False,Germany,1
0,Samsung,True,India,1
